Robert A. Kagan
William M. Kahan
Victoria Kahn
Abhishek Kaicker
Paul Kalas
Yehuda Kalay
Philip M. Kaminsky
Daniel Kammen
Adib Kanafani
Kuniyoshi Kanai
Caroline Kane
Tabitha Kanogo
Selig N. Kaplan
Jerome Karabel
Shachar Kariv
Richard Karp
Larry S. Karp
Gary Karpen
William E. Kastenberg
Randy Katz
Alexander Katz
Michael Katz
Daniela Kaufer
Allan Kaufman
Robert Kaufman
Darya  Kavitskaya
Paul Kay
Herma H. Kay
Homayoon Kazerooni
Jay D. Keasling
Tony M. Keaveny
David N. Keightley
James M. Kelly
Nina Maggi Kelly
Dacher Keltner
Cheryl A. Kerfeld
Richard Kern
Erin  Kerrison
Leroy Kerth
Kurt Keutzer
John Kihlstrom
Elaine H. Kim
Sung-Hou Kim
Nicole King
C. Judson King
Tsu-Jae King Liu
Robion C. Kirby
Patrick V. Kirch
James Kirchner
Thomas Kirchstetter
David Kirp
Jack Kirsch
Charles Kittel
Michael Klass
Daniel Klein
Richard Klein
Stanley Klein
Patrick Kline
Judith P. Klinman
Jeffrey Knapp
Robert T. Knight
Edgar Knobloch
Mimi R. Koehl
Yury Kolomensky
Arash Komeili
Kyriakos Komvopoulos
Yaniv Konchitchki
G. Mathias Kondolf
Catherine Koshland
Douglas Koshland
Britt Koskella
Richard H. Kramer
Claire Kramsch
Ronald Krauss
Laura Kray
Lance Kriegsfeld
Ann Kring
Lauren Kroiz
Chana Kronfeld
John D. Kubiatowicz
Isao Kubo
Winfried Kudszus
Andreas Kuehlmann
Karl Kullmann
Sanjay Kumar
John Kuriyan
Leslie Kurke
Christopher Kutz
Marika Kuzma
SanSan Kwan
Eileen A. Lacey
Michel Laguerre
George P. Lakoff
Robin T. Lakoff
Stephan Lammel
Lewis R. Lancaster
David Landreth
Robert S. Lane
Celeste Langan
Alessandra Lanzara
Thomas Laqueur
Barbara Laraia
Niklaus Largier
Margaret Larkin
Laurel Larsen
Ray R. Larson
Joyce Lashof
Kam Y. Lau
Jean Lave
Alastair N Lawrence
Robert C. Leachman
Steven Lee
Luke P. Lee
Hong Yung Lee
Taeku Lee
Seung-Wuk Lee
Geoffrey Lee
Dung-Hai Lee
Adrian Lee
Daniel Lee
Ronald Lee
Edward A. Lee
Steven L. Lehman
R. Sherman Lehman
George Leitmann
Hayne Leland
Peggy G. Lemaux
Gabriel Lenz
Jonathan Leonard
Stephen R. Leone
Amy Lerman
"William A. Lester, Jr."
John Letiche
Martin Lettau
Ming Leung
Robert W. Levenson
Dennis M. Levi
David Levine
Gregory P. A. Levine
Ross Levine
Michael Levine
Jonah D. Levy
Linda Lewin
Jennifer D Lewis
Vernard Lewis
Edwin R. Lewis
Jovan Lewis
Song Li
Shaofan Li
Paul Licht
Allan J. Lichtenberg
William Lidicker
John Lie
Michael A. Lieberman
David Lieberman
Dorian Liepmann
Dennis K. Lieu
Raymond Lifchez
Ken Light
Kent Lightfoot
Ethan A. Ligon
Han Lim
Susan Lin
Liwei Lin
Meng C. Lin
James Lincoln
David R. Lindberg
Steven E. Lindow
John Lindow
Stuart Linn
Marcia Linn
Jere Lipps
Polina Lishko
Judith Warren Little
Robert Littlejohn
David Littlejohn
Xin Liu
Goodwin Liu
Yue Liu
Fenyong Liu
Anthony A. Long
Jeffrey R. Long
Cynthia Looy
Peter Lorentzen
Steven Louie
Margaretta Lovell
Sangwei Lu
Sheng Luan
Jacob Lubliner
Rita Lucarelli
Samuel Lucas
Michael Lucey
Paul L. Ludden
Kam-Biu Luk
Kristin Luker
Ninik Lunde
Kunxin Luo
Michael (Miki) Lustig
Colleen Lye
Donlyn Lyndon
Richard Lyons
Fai Ma
Chung-Pei Ma
Roya Maboudian
Robert MacCoun
Elizabeth Macdonald
John MacFarlane
Terry E. Machen
Emily Mackil
Samer Madanat
Ian Maddieson
Jeremy Magruder
Michel Maharbiz
Lisa Maher
Stephen A. Mahin
Jabari Mahiri
Saba Mahmood
Thomas Maimone
Marcin Majda
Simo Makiharju
Jitendra Malik
Richard Malkin
Ulrike Malmendier
Paolo Mancosu
Robert Mandell
Stanley Mandelstam
Michael Manga
Alaa Mansour
Beatriz Manz
Samuel S. Mao
Philip Marcus
Clare Cooper Marcus
Angela Marino
Samuel Markowitz
Michael A. Marletta
Susan Marqusee
Richard Marrus
Thomas Marschak
Terry Marsh
Andreas Martin
Lane W. Martin
G. Steven Martin
Waldo Martin
Michael Mascuch
Francine Masiello
Christina Maslach
Susan Maslan
Mary Ann Mason
Donald J. Mastronarde
Aila Matanock
Nicholas Mathew
Richard A. Mathies
Olga Matich
James A. Matisoff
Susan Matisoff
Michaela Mattes
David Matza
Jane Gilbert Mauldon
Iris Mauss
Maria Mavroudi
Adolf D. May
Laurent Mayali
Massimo Mazzotti
Jon McAuliffe
Joe R. McBride
Kathleen McCarthy
John G. McColl
Sheila McCormick
Justin McCrary
Dale R. McCullough
Kellie McElhaney
Jimmy A. McGuire
Christopher F. McKee
Ralph McKenzie
William McKillop
Daniel McKinsey
Mairi McLaughlin
Hugh McLean
Rebecca McLennan
Sara McMains
John K. McNulty
Donald McQuade
Jonas Meckling
Sanjyot Mehendale
Povindar K. Mehta
Daniel F. Melia
Anastasios Melis
Rodolfo Mendoza-Denton
Peter S. Menell
Carolyn Merchant
Adina M. Merenlender
Robert P. Merges
Ali Mesbah
David Messerschmitt
Phillip Messersmith
Kathleen E. Metz
Barbara Meyer
Robert G. Meyer
Guy Micco
